RES_ADDRESS_ID,ADDRESS_LINE_1,ADDRESS_LINE_2,ADDRESS_LINE_3,CITY,STATE,ZIP_CODE,LATITUDE,LONGITUDE
9001,100 CEDAR ST,,,BOSTON,MA,02412,42.475722,-71.155787
9002,101 HARBOR ST,,,SOMERVILLE,MA,02071,42.206592,-70.935741
9003,102 COMMERCE ST,UNIT 30,,QUINCY,MA,01934,42.430783,-70.922305
9004,103 UNION ST,,,LYNN,MA,02316,42.438909,-70.932995
9005,104 INDUSTRIAL ST,,,CAMBRIDGE,MA,01998,42.355844,-71.107996
9006,105 UNION ST,,,WALTHAM,MA,02228,42.365227,-71.000309
9007,106 UNION ST,UNIT 12,,LYNN,MA,02532,42.251311,-71.197974
9008,107 CEDAR ST,,,WALTHAM,MA,02756,42.218704,-71.118746
9009,108 INDUSTRIAL ST,,,SOMERVILLE,MA,02499,42.382303,-71.01601
9010,109 COMMERCE ST,,,SOMERVILLE,MA,02556,42.301449,-70.919075
9011,110 MAPLE ST,,,LYNN,MA,02190,42.496578,-71.071761
9012,111 UNION ST,,,LYNN,MA,02019,42.309478,-71.047433
9013,112 MAPLE ST,UNIT 23,,LYNN,MA,02428,42.484621,-71.056365
9014,113 MAPLE ST,,,BROOKLINE,MA,02006,42.307127,-71.203722
9015,114 COMMERCE ST,UNIT 22,,BOSTON,MA,02427,42.489627,-71.210496
9016,115 MAPLE ST,,,BOSTON,MA,02557,42.286854,-71.127962
9017,116 COMMERCE ST,UNIT 26,,CAMBRIDGE,MA,02389,42.247166,-70.918396
9018,117 CEDAR ST,,,WALTHAM,MA,01909,42.22252,-70.951249
9019,118 MAPLE ST,,,CAMBRIDGE,MA,02436,42.439259,-71.051478
9020,119 FRANKLIN ST,,,QUINCY,MA,02643,42.444175,-70.902704
9021,120 HARBOR ST,UNIT 18,,SOMERVILLE,MA,02789,42.282613,-71.248205
9022,121 FRANKLIN ST,UNIT 36,,WALTHAM,MA,02461,42.234874,-70.978086
9023,122 INDUSTRIAL ST,,,WALTHAM,MA,02670,42.424156,-70.950266
9024,123 UNION ST,,,BROOKLINE,MA,02165,42.31992,-71.017029
9025,124 UNION ST,,,SOMERVILLE,MA,02575,42.299757,-71.164623
9026,125 UNION ST,,,LYNN,MA,01843,42.366088,-71.088033
9027,126 INDUSTRIAL ST,UNIT 31,,WALTHAM,MA,01944,42.215306,-70.919021
9028,127 HARBOR ST,UNIT 4,,BOSTON,MA,02214,42.446684,-71.219637
9029,128 CEDAR ST,,,SOMERVILLE,MA,02754,42.452405,-71.037384
9030,129 MAPLE ST,,,WALTHAM,MA,02139,42.48761,-70.959149
9031,130 INDUSTRIAL ST,UNIT 21,,QUINCY,MA,02284,42.463673,-71.23878
9032,131 INDUSTRIAL ST,UNIT 37,,BOSTON,MA,02730,42.492038,-71.268863
9033,132 MAPLE ST,,,BROOKLINE,MA,02200,42.402178,-70.908982
9034,133 COMMERCE ST,UNIT 12,,WALTHAM,MA,02074,42.298829,-71.114257
9035,134 UNION ST,,,BROOKLINE,MA,02124,42.25796,-71.043343
9036,135 UNION ST,,,CAMBRIDGE,MA,02448,42.459475,-70.940001
9037,136 FRANKLIN ST,,,LYNN,MA,02525,42.301425,-71.037653
9038,137 MAPLE ST,,,QUINCY,MA,01873,42.255998,-70.93566
9039,138 INDUSTRIAL ST,,,LYNN,MA,02054,42.300693,-71.030578
9040,139 MAPLE ST,,,LYNN,MA,02403,42.416013,-70.948178
9041,140 UNION ST,,,QUINCY,MA,02134,42.317758,-71.135978
9042,141 MAPLE ST,,,LYNN,MA,02365,42.26321,-71.111379
9043,142 COMMERCE ST,,,SOMERVILLE,MA,02450,42.469364,-71.249199
9044,143 UNION ST,UNIT 31,,SOMERVILLE,MA,02558,42.213762,-70.958951
9045,144 MAPLE ST,,,LYNN,MA,02713,42.398081,-71.117849
9046,145 UNION ST,,,CAMBRIDGE,MA,02704,42.317894,-71.165802
9047,146 FRANKLIN ST,,,BROOKLINE,MA,02642,42.391099,-71.146106
9048,147 CEDAR ST,UNIT 26,,SOMERVILLE,MA,02163,42.201945,-71.280137
9049,148 HARBOR ST,,,QUINCY,MA,02281,42.374044,-70.991317
9050,149 UNION ST,,,BOSTON,MA,02172,42.340792,-71.27178
9051,150 UNION ST,,,QUINCY,MA,02294,42.280663,-70.949483
9052,151 COMMERCE ST,,,BOSTON,MA,02580,42.270055,-71.025821
9053,152 UNION ST,,,BOSTON,MA,02726,42.362661,-70.952638
9054,153 HARBOR ST,UNIT 10,,WALTHAM,MA,02040,42.447164,-70.96748
9055,154 FRANKLIN ST,,,BROOKLINE,MA,02549,42.262645,-71.102806
9056,155 HARBOR ST,,,SOMERVILLE,MA,02115,42.325925,-70.908395
9057,156 CEDAR ST,,,BROOKLINE,MA,02134,42.446407,-71.059907
9058,157 COMMERCE ST,,,CAMBRIDGE,MA,01993,42.451836,-70.953999
9059,158 INDUSTRIAL ST,,,CAMBRIDGE,MA,02316,42.205365,-71.186217
9060,159 INDUSTRIAL ST,,,QUINCY,MA,01982,42.468673,-71.244349
9061,160 COMMERCE ST,,,BROOKLINE,MA,02395,42.36505,-71.121515
9062,161 UNION ST,,,BROOKLINE,MA,02180,42.218336,-70.973659
9063,162 HARBOR ST,,,BROOKLINE,MA,01821,42.30575,-71.145864
9064,163 CEDAR ST,,,BROOKLINE,MA,02291,42.46051,-71.005394
9065,164 INDUSTRIAL ST,,,SOMERVILLE,MA,02600,42.269439,-71.289157
9066,165 COMMERCE ST,,,LYNN,MA,01990,42.425401,-70.939208
9067,166 CEDAR ST,,,BROOKLINE,MA,02504,42.337105,-70.959877
9068,167 HARBOR ST,,,BOSTON,MA,02304,42.385505,-70.980701
9069,168 COMMERCE ST,,,CAMBRIDGE,MA,01902,42.268554,-71.070047
9070,169 CEDAR ST,,,BOSTON,MA,02052,42.240392,-71.139767
9071,170 UNION ST,,,LYNN,MA,02206,42.328763,-71.288594
9072,171 HARBOR ST,,,LYNN,MA,02167,42.251095,-71.18426
9073,172 INDUSTRIAL ST,,,SOMERVILLE,MA,02154,42.427451,-71.09517
9074,173 FRANKLIN ST,,,QUINCY,MA,02129,42.469007,-71.285934
9075,174 MAPLE ST,,,SOMERVILLE,MA,02011,42.413367,-71.148425
9076,175 MAPLE ST,UNIT 37,,SOMERVILLE,MA,02627,42.348383,-71.083768
9077,176 MAPLE ST,,,WALTHAM,MA,02064,42.377486,-71.186793
9078,177 CEDAR ST,UNIT 6,,QUINCY,MA,02002,42.221444,-71.217021
9079,178 INDUSTRIAL ST,,,QUINCY,MA,02206,42.257412,-71.046999
9080,179 INDUSTRIAL ST,UNIT 22,,WALTHAM,MA,01982,42.342384,-71.169024
9081,180 CEDAR ST,,,SOMERVILLE,MA,01903,42.302992,-71.088895
9082,181 COMMERCE ST,,,CAMBRIDGE,MA,02513,42.230232,-71.176396
9083,182 MAPLE ST,,,WALTHAM,MA,02248,42.4022,-71.008126
9084,183 INDUSTRIAL ST,,,SOMERVILLE,MA,02068,42.223093,-71.24464
9085,184 UNION ST,,,BROOKLINE,MA,02300,42.311549,-70.911191
9086,185 FRANKLIN ST,UNIT 8,,LYNN,MA,02630,42.499448,-71.087295
9087,186 FRANKLIN ST,,,QUINCY,MA,01839,42.203915,-70.900835
9088,187 FRANKLIN ST,UNIT 23,,WALTHAM,MA,02757,42.420911,-71.060258
9089,188 INDUSTRIAL ST,,,BROOKLINE,MA,01829,42.320183,-71.266291
9090,189 CEDAR ST,,,BROOKLINE,MA,02164,42.469576,-70.928029
