RES_PERSON_ID,EDGE_NAME,EFFECTIVE_DATE,IS_LATEST_ADDRESS_IND,RES_ADDRESS_ID
5001,LOCATED_IN,2023-01-01,1,9083
5002,LOCATED_IN,2023-01-01,1,9043
5003,LOCATED_IN,2023-01-01,1,9077
5004,LOCATED_IN,2023-01-01,1,9034
5005,LOCATED_IN,2023-01-01,1,9016
5006,LOCATED_IN,2023-01-01,1,9048
5007,LOCATED_IN,2023-01-01,1,9089
5008,LOCATED_IN,2023-01-01,1,9085
5009,LOCATED_IN,2023-01-01,1,9010
5010,LOCATED_IN,2023-01-01,1,9044
5011,LOCATED_IN,2023-01-01,1,9037
5012,LOCATED_IN,2023-01-01,1,9080
5013,LOCATED_IN,2023-01-01,1,9025
5014,LOCATED_IN,2023-01-01,1,9031
5015,LOCATED_IN,2023-01-01,1,9021
5016,LOCATED_IN,2023-01-01,1,9009
5017,LOCATED_IN,2023-01-01,1,9016
5018,LOCATED_IN,2023-01-01,1,9077
5019,LOCATED_IN,2023-01-01,1,9004
5020,LOCATED_IN,2023-01-01,1,9071
5021,LOCATED_IN,2023-01-01,1,9027
5022,LOCATED_IN,2023-01-01,1,9032
5023,LOCATED_IN,2023-01-01,1,9001
5024,LOCATED_IN,2023-01-01,1,9067
5025,LOCATED_IN,2023-01-01,1,9045
5026,LOCATED_IN,2023-01-01,1,9015
5027,LOCATED_IN,2023-01-01,1,9007
5028,LOCATED_IN,2023-01-01,1,9080
5029,LOCATED_IN,2023-01-01,1,9038
5030,LOCATED_IN,2023-01-01,1,9054
5031,LOCATED_IN,2023-01-01,1,9044
5032,LOCATED_IN,2023-01-01,1,9009
5033,LOCATED_IN,2023-01-01,1,9078
5034,LOCATED_IN,2023-01-01,1,9055
5035,LOCATED_IN,2023-01-01,1,9085
5036,LOCATED_IN,2023-01-01,1,9058
5037,LOCATED_IN,2023-01-01,1,9080
5038,LOCATED_IN,2023-01-01,1,9077
5039,LOCATED_IN,2023-01-01,1,9003
5040,LOCATED_IN,2023-01-01,1,9001
5041,LOCATED_IN,2023-01-01,1,9079
5042,LOCATED_IN,2023-01-01,1,9088
5043,LOCATED_IN,2023-01-01,1,9044
5044,LOCATED_IN,2023-01-01,1,9049
5045,LOCATED_IN,2023-01-01,1,9006
5046,LOCATED_IN,2023-01-01,1,9081
5047,LOCATED_IN,2023-01-01,1,9012
5048,LOCATED_IN,2023-01-01,1,9035
5049,LOCATED_IN,2023-01-01,1,9059
5050,LOCATED_IN,2023-01-01,1,9019
5051,LOCATED_IN,2023-01-01,1,9027
5052,LOCATED_IN,2023-01-01,1,9073
5053,LOCATED_IN,2023-01-01,1,9072
5054,LOCATED_IN,2023-01-01,1,9013
5055,LOCATED_IN,2023-01-01,1,9044
5056,LOCATED_IN,2023-01-01,1,9006
5057,LOCATED_IN,2023-01-01,1,9049
5058,LOCATED_IN,2023-01-01,1,9078
5059,LOCATED_IN,2023-01-01,1,9067
5060,LOCATED_IN,2023-01-01,1,9046
5061,LOCATED_IN,2023-01-01,1,9071
5062,LOCATED_IN,2023-01-01,1,9056
5063,LOCATED_IN,2023-01-01,1,9078
5064,LOCATED_IN,2023-01-01,1,9031
5065,LOCATED_IN,2023-01-01,1,9042
5066,LOCATED_IN,2023-01-01,1,9006
5067,LOCATED_IN,2023-01-01,1,9035
5068,LOCATED_IN,2023-01-01,1,9041
5069,LOCATED_IN,2023-01-01,1,9024
5070,LOCATED_IN,2023-01-01,1,9052
5071,LOCATED_IN,2023-01-01,1,9087
5072,LOCATED_IN,2023-01-01,1,9075
5073,LOCATED_IN,2023-01-01,1,9036
5074,LOCATED_IN,2023-01-01,1,9057
5075,LOCATED_IN,2023-01-01,1,9005
5076,LOCATED_IN,2023-01-01,1,9017
5077,LOCATED_IN,2023-01-01,1,9056
5078,LOCATED_IN,2023-01-01,1,9073
5079,LOCATED_IN,2023-01-01,1,9032
5080,LOCATED_IN,2023-01-01,1,9076
5081,LOCATED_IN,2023-01-01,1,9083
5082,LOCATED_IN,2023-01-01,1,9035
5083,LOCATED_IN,2023-01-01,1,9055
5084,LOCATED_IN,2023-01-01,1,9086
5085,LOCATED_IN,2023-01-01,1,9081
5086,LOCATED_IN,2023-01-01,1,9007
5087,LOCATED_IN,2023-01-01,1,9077
5088,LOCATED_IN,2023-01-01,1,9032
5089,LOCATED_IN,2023-01-01,1,9039
5090,LOCATED_IN,2023-01-01,1,9054
5091,LOCATED_IN,2023-01-01,1,9012
5092,LOCATED_IN,2023-01-01,1,9035
5093,LOCATED_IN,2023-01-01,1,9019
5094,LOCATED_IN,2023-01-01,1,9003
5095,LOCATED_IN,2023-01-01,1,9065
5096,LOCATED_IN,2023-01-01,1,9083
5097,LOCATED_IN,2023-01-01,1,9061
5098,LOCATED_IN,2023-01-01,1,9019
5099,LOCATED_IN,2023-01-01,1,9072
5100,LOCATED_IN,2023-01-01,1,9019
5101,LOCATED_IN,2023-01-01,1,9081
5102,LOCATED_IN,2023-01-01,1,9048
5103,LOCATED_IN,2023-01-01,1,9082
5104,LOCATED_IN,2023-01-01,1,9002
5105,LOCATED_IN,2023-01-01,1,9055
5106,LOCATED_IN,2023-01-01,1,9090
5107,LOCATED_IN,2023-01-01,1,9009
5108,LOCATED_IN,2023-01-01,1,9074
5109,LOCATED_IN,2023-01-01,1,9035
5110,LOCATED_IN,2023-01-01,1,9057
5111,LOCATED_IN,2023-01-01,1,9067
5112,LOCATED_IN,2023-01-01,1,9066
5113,LOCATED_IN,2023-01-01,1,9064
5114,LOCATED_IN,2023-01-01,1,9018
5115,LOCATED_IN,2023-01-01,1,9017
5116,LOCATED_IN,2023-01-01,1,9041
5117,LOCATED_IN,2023-01-01,1,9079
5118,LOCATED_IN,2023-01-01,1,9028
5119,LOCATED_IN,2023-01-01,1,9062
5120,LOCATED_IN,2023-01-01,1,9063
5121,LOCATED_IN,2023-01-01,1,9026
5122,LOCATED_IN,2023-01-01,1,9034
5123,LOCATED_IN,2023-01-01,1,9058
5124,LOCATED_IN,2023-01-01,1,9023
5125,LOCATED_IN,2023-01-01,1,9089
5126,LOCATED_IN,2023-01-01,1,9006
5127,LOCATED_IN,2023-01-01,1,9071
5128,LOCATED_IN,2023-01-01,1,9070
5129,LOCATED_IN,2023-01-01,1,9086
5130,LOCATED_IN,2023-01-01,1,9038
5131,LOCATED_IN,2023-01-01,1,9050
5132,LOCATED_IN,2023-01-01,1,9075
5133,LOCATED_IN,2023-01-01,1,9081
5134,LOCATED_IN,2023-01-01,1,9049
5135,LOCATED_IN,2023-01-01,1,9044
