RES_BANK_ACCOUNT_ID,EDGE_NAME,RES_PERSON_ID
8055,HOLD_BY,5001
8002,HOLD_BY,5002
8038,HOLD_BY,5003
8021,HOLD_BY,5004
8026,HOLD_BY,5005
8024,HOLD_BY,5006
8014,HOLD_BY,5007
8013,HOLD_BY,5008
8004,HOLD_BY,5009
8030,HOLD_BY,5010
8025,HOLD_BY,5011
8062,HOLD_BY,5012
8048,HOLD_BY,5013
8044,HOLD_BY,5014
8049,HOLD_BY,5015
8051,HOLD_BY,5016
8026,HOLD_BY,5017
8038,HOLD_BY,5018
8058,HOLD_BY,5019
8032,HOLD_BY,5020
8068,HOLD_BY,5021
8057,HOLD_BY,5022
8016,HOLD_BY,5023
8038,HOLD_BY,5024
8058,HOLD_BY,5025
8034,HOLD_BY,5026
8019,HOLD_BY,5027
8056,HOLD_BY,5028
8040,HOLD_BY,5029
8058,HOLD_BY,5030
8047,HOLD_BY,5031
8008,HOLD_BY,5032
8043,HOLD_BY,5033
8042,HOLD_BY,5034
8033,HOLD_BY,5035
8013,HOLD_BY,5036
8027,HOLD_BY,5037
8012,HOLD_BY,5038
8053,HOLD_BY,5039
8056,HOLD_BY,5040
8002,HOLD_BY,5041
8031,HOLD_BY,5042
8006,HOLD_BY,5043
8018,HOLD_BY,5044
8032,HOLD_BY,5045
8022,HOLD_BY,5046
8054,HOLD_BY,5047
8061,HOLD_BY,5048
8011,HOLD_BY,5049
8032,HOLD_BY,5050
8016,HOLD_BY,5051
8037,HOLD_BY,5052
8010,HOLD_BY,5053
8062,HOLD_BY,5054
8014,HOLD_BY,5055
8056,HOLD_BY,5056
8045,HOLD_BY,5057
8070,HOLD_BY,5058
8011,HOLD_BY,5059
8040,HOLD_BY,5060
8002,HOLD_BY,5061
8025,HOLD_BY,5062
8070,HOLD_BY,5063
8023,HOLD_BY,5064
8059,HOLD_BY,5065
8070,HOLD_BY,5066
8046,HOLD_BY,5067
8033,HOLD_BY,5068
8057,HOLD_BY,5069
8049,HOLD_BY,5070
8001,HOLD_BY,5071
8045,HOLD_BY,5072
8016,HOLD_BY,5073
8012,HOLD_BY,5074
8031,HOLD_BY,5075
8031,HOLD_BY,5076
8040,HOLD_BY,5077
8064,HOLD_BY,5078
8021,HOLD_BY,5079
8001,HOLD_BY,5080
8004,HOLD_BY,5081
8010,HOLD_BY,5082
8038,HOLD_BY,5083
8032,HOLD_BY,5084
8041,HOLD_BY,5085
8029,HOLD_BY,5086
8005,HOLD_BY,5087
8011,HOLD_BY,5088
8046,HOLD_BY,5089
8029,HOLD_BY,5090
8006,HOLD_BY,5091
8031,HOLD_BY,5092
8018,HOLD_BY,5093
8063,HOLD_BY,5094
8060,HOLD_BY,5095
8061,HOLD_BY,5096
8056,HOLD_BY,5097
8031,HOLD_BY,5098
8051,HOLD_BY,5099
8051,HOLD_BY,5100
8060,HOLD_BY,5101
8027,HOLD_BY,5102
8015,HOLD_BY,5103
8060,HOLD_BY,5104
8011,HOLD_BY,5105
8055,HOLD_BY,5106
8009,HOLD_BY,5107
8036,HOLD_BY,5108
8022,HOLD_BY,5109
8065,HOLD_BY,5110
8053,HOLD_BY,5111
8003,HOLD_BY,5112
8030,HOLD_BY,5113
8047,HOLD_BY,5114
8021,HOLD_BY,5115
8021,HOLD_BY,5116
8045,HOLD_BY,5117
8011,HOLD_BY,5118
8048,HOLD_BY,5119
8058,HOLD_BY,5120
8027,HOLD_BY,5121
8067,HOLD_BY,5122
8050,HOLD_BY,5123
8057,HOLD_BY,5124
8066,HOLD_BY,5125
8024,HOLD_BY,5126
8013,HOLD_BY,5127
8020,HOLD_BY,5128
8006,HOLD_BY,5129
8002,HOLD_BY,5130
8051,HOLD_BY,5131
8067,HOLD_BY,5132
8063,HOLD_BY,5133
8008,HOLD_BY,5134
8020,HOLD_BY,5135
8022,HOLD_BY,5136
8057,HOLD_BY,5137
8056,HOLD_BY,5138
8018,HOLD_BY,5139
8008,HOLD_BY,5140
8030,HOLD_BY,5141
8036,HOLD_BY,5142
8024,HOLD_BY,5143
8070,HOLD_BY,5144
8011,HOLD_BY,5145
8034,HOLD_BY,5146
8054,HOLD_BY,5147
8009,HOLD_BY,5148
8041,HOLD_BY,5149
8039,HOLD_BY,5150
8029,HOLD_BY,5151
8070,HOLD_BY,5152
8038,HOLD_BY,5153
8065,HOLD_BY,5154
8053,HOLD_BY,5155
8017,HOLD_BY,5156
8014,HOLD_BY,5157
8034,HOLD_BY,5158
8014,HOLD_BY,5159
8028,HOLD_BY,5160
8054,HOLD_BY,5161
8059,HOLD_BY,5162
8050,HOLD_BY,5163
8037,HOLD_BY,5164
8055,HOLD_BY,5165
8057,HOLD_BY,5166
8069,HOLD_BY,5167
8017,HOLD_BY,5168
8070,HOLD_BY,5169
8053,HOLD_BY,5170
8060,HOLD_BY,5171
8046,HOLD_BY,5172
8019,HOLD_BY,5173
8022,HOLD_BY,5174
8003,HOLD_BY,5175
8032,HOLD_BY,5176
8031,HOLD_BY,5177
8005,HOLD_BY,5178
8048,HOLD_BY,5179
8003,HOLD_BY,5180
8001,HOLD_BY,5181
8027,HOLD_BY,5182
8017,HOLD_BY,5183
8038,HOLD_BY,5184
8047,HOLD_BY,5185
8067,HOLD_BY,5186
8056,HOLD_BY,5187
8024,HOLD_BY,5188
8019,HOLD_BY,5189
8002,HOLD_BY,5190
8019,HOLD_BY,5191
8050,HOLD_BY,5192
8054,HOLD_BY,5193
8047,HOLD_BY,5194
8059,HOLD_BY,5195
8067,HOLD_BY,5196
8009,HOLD_BY,5197
8009,HOLD_BY,5198
8040,HOLD_BY,5199
8038,HOLD_BY,5200
8001,HOLD_BY,5201
8011,HOLD_BY,5202
8043,HOLD_BY,5203
8049,HOLD_BY,5204
8022,HOLD_BY,5205
8028,HOLD_BY,5206
8062,HOLD_BY,5207
8060,HOLD_BY,5208
8053,HOLD_BY,5209
